Year,Total
2009,47657.8
2010,100108.5
2011,77944.8
2012,65264.2
2013,62857.9
2014,1452.5
2015,6950.7
2016,1758.6
2017,4955.1
2018,1461.9
2019,221.8
2020,5579.9
2021,6824.3
2022,4337
