gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,iucn_category
2242413662,89c53edb-0fac-4118-bdc0-d70ca50953dc,7b58bf38-3c6b-4103-9c19-381312f3e966,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Brugmansia,Brugmansia suaveolens,NA,SPECIES,Datura suaveolens Humb. & Bonpl. ex Willd.,Datura suaveolens,Humb. & Bonpl. ex Willd.,US,"Denver Botanic Gardens, 909 York Street, Conservatory",Colorado,PRESENT,NA,36488347-eceb-40ed-b687-406f3601d8cb,39.732207,-104.961468,293,NA,1643,NA,NA,NA,10/27/83 0:00,27,10,1983,2928886,5341758,PRESERVED_SPECIMEN,DBG,KHD,KHD00052166,2869,NA,NA,CC0_1_0,Public Domain,Janet L. Wingate,NA,NA,4/19/23 0:30,StillImage,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY,EX
2242412848,89c53edb-0fac-4118-bdc0-d70ca50953dc,ad47a2de-0161-4472-8c68-4c5517910d5a,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Brugmansia,Brugmansia suaveolens,NA,SPECIES,Datura suaveolens Humb. & Bonpl. ex Willd.,Datura suaveolens,Humb. & Bonpl. ex Willd.,US,"Conservatory, Denver Botanic Gardens.",Colorado,PRESENT,NA,36488347-eceb-40ed-b687-406f3601d8cb,39.732207,-104.961468,293,NA,1643,NA,NA,NA,5/14/68 0:00,14,5,1968,2928886,5341758,PRESERVED_SPECIMEN,DBG,KHD,KHD00052165,s.n.,J. Wingate,NA,CC0_1_0,Public Domain,Ernie Bibee,NA,NA,4/19/23 0:30,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY,EX
2242401203,89c53edb-0fac-4118-bdc0-d70ca50953dc,e393679c-69a0-4ee6-88f8-0328b7e33d93,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Cyanea,Cyanea sessilifolia,NA,SPECIES,Rollandia sessilifolia O.Deg.,Rollandia sessilifolia,O. Deg.,US,"Pupukea-Kahuku Trail, Oahu, T.H.",Hawaii,PRESENT,NA,36488347-eceb-40ed-b687-406f3601d8cb,21.666389,-157.983333,14542,NA,NA,NA,NA,NA,4/3/38 0:00,3,4,1938,5412198,5412197,PRESERVED_SPECIMEN,DBG,KHD,KHD00040123,"77,924",NA,NA,CC0_1_0,Public Domain,Otto Degener,NA,NA,4/19/23 0:31,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY,EX
2234457061,27b4ff4b-29c3-4017-9c48-3750861392f7,ac2b9733-cc84-4d37-aa47-0ded1496740c,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Bartram ex Marsh.,US,"Cultivated, Cub Hill, Baltimore, Baltimore County, Maryland.",Maryland,PRESENT,NA,0eabc674-8106-401e-9613-5f10164b562d,39.416755,-76.523103,1168,NA,NA,NA,NA,NA,6/10/70 0:00,10,6,1970,5421082,5421082,PRESERVED_SPECIMEN,NCU,Vascular Plants,NCU00052499,86126,"Prince, Linda M.",NA,CC_BY_4_0,NA,"Reed, Clyde F.",NA,NA,4/26/23 2:17,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,EX
2234455281,27b4ff4b-29c3-4017-9c48-3750861392f7,4c343819-cfb4-4ed3-a661-dd53c84507ba,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Bartram ex Marsh.,US,"Cub Hill, Baltimore",Maryland,PRESENT,NA,0eabc674-8106-401e-9613-5f10164b562d,39.416755,-76.523103,1168,NA,NA,NA,NA,NA,6/10/70 0:00,10,6,1970,5421082,5421082,PRESERVED_SPECIMEN,NCU,Vascular Plants,NCU00052500,86126,"Prince, Linda M.",NA,CC_BY_4_0,NA,"Reed, Clyde F.",NA,NA,4/26/23 2:17,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY,EX
1990213078,707e1918-0999-4f2f-9ad1-22c0be104861,fd9499b4-e5ab-4b90-8ebb-96e8ef0efec6,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Bartram ex Marsh.,US,"Raleigh, Beryl Rd., N. C. State University Arboretum",North Carolina,PRESENT,NA,0f0c387a-64ec-4eaa-b590-e09b0f11c94f,35.794269,-78.698546,160,NA,NA,NA,NA,NA,1/28/94 0:00,28,1,1994,5421082,5421082,PRESERVED_SPECIMEN,NCSC,NA,NCSC00029571,361,NA,NA,CC_BY_4_0,NA,Alice B. Russell,NA,NA,4/11/23 7:47,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY,EX
1988873440,c8d12f8a-7e39-4e2c-92d7-825d590ad15b,49650cef-9094-445a-90cf-fc90931a963c,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia mayurnathanii,NA,SPECIES,Euphorbia mayurnathanii Croiz.,Euphorbia mayuranthanii,NA,US,"USA, Pima, Arid Lands Greenhouses",Arizona,PRESENT,NA,174c6da2-e002-42fe-9f56-2f9d670240f4,32.141594,-111.040664,NA,NA,NA,NA,NA,NA,12/5/09 0:00,5,12,2009,5792376,5792376,PRESERVED_SPECIMEN,MICH,Angiosperms,1491528,265,NA,NA,CC_BY_NC_4_0,NA,Brian L. Dorsey,NA,NA,3/16/23 15:07,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;TAXON_MATCH_FUZZY,EX
1987010845,7827f68d-c981-4023-bace-288a03434044,119efef9-3ee1-43ee-b03f-728bff71f6d6,Plantae,Tracheophyta,Magnoliopsida,Ericales,Theaceae,Franklinia,Franklinia alatamaha,NA,SPECIES,Franklinia alatamaha Bartram ex Marshall,Franklinia alatamaha,Bartram ex Marsh.,US,Longwood Gardens; Kennett Square; intersection of Route 1 and Route 52. Quad M-7 North of Pierce duPont House,Pennsylvania,PRESENT,NA,4c0e9f60-c489-11d8-bf60-b8a03c50a862,39.873831,-75.674329,25,NA,133,NA,NA,NA,7/1/00 0:00,1,7,2000,5421082,5421082,PRESERVED_SPECIMEN,USU,UTC,UTC00229572,256,Assumed to be collector,NA,CC0_1_0,Utah State University,Jennifer Hart,NA,NA,4/25/23 15:40,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_FUZZY,EX
1978380541,b89d52a2-861d-4388-adad-c0da3d55fc78,c3fadb37-c98a-49c2-a91c-3dd90ee4531e,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos,Encephalartos nubimontanus,NA,SPECIES,Encephalartos nubimontanus P.J.H.Hurter,Encephalartos nubimontanus,P.J.H.Hurter,US,NA,Florida,PRESENT,NA,8483a1f0-1032-11db-ae00-b8a03c50a862,25.6787,-80.2737,NA,NA,NA,NA,NA,NA,6/8/17 0:00,8,6,2017,2683831,2683831,PRESERVED_SPECIMEN,FLAS,NA,267672,17-122,NA,NA,CC_BY_NC_4_0,University of Florida,Nathalie Nagalingum,NA,NA,4/24/23 4:07,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,EX
1978380444,b89d52a2-861d-4388-adad-c0da3d55fc78,a3c67946-407e-413f-93ec-73b7723c3d21,Plantae,Tracheophyta,Cycadopsida,Cycadales,Zamiaceae,Encephalartos,Encephalartos nubimontanus,NA,SPECIES,Encephalartos nubimontanus P.J.H.Hurter,Encephalartos nubimontanus,P.J.H.Hurter,US,NA,Florida,PRESENT,NA,8483a1f0-1032-11db-ae00-b8a03c50a862,25.6787,-80.2737,NA,NA,NA,NA,NA,NA,6/8/17 0:00,8,6,2017,2683831,2683831,PRESERVED_SPECIMEN,FLAS,NA,267671,17-122,NA,NA,CC_BY_NC_4_0,University of Florida,Nathalie Nagalingum,NA,NA,4/24/23 4:07,StillImage,CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY,EX
